Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588299581,1161,0.6736587207,42842,0.00463682108,0.0138353,-0.00010043,0.00010043
1588299584,1164,0.675435562,42955,0.01514473579,0.04518871,-0.03135341,0.03135341
1588299587,1167,0.6772124033,43068,0.005439598777,0.01623062,0.02895809,0.02895809
1588299590,1170,0.6789892446,43181,0.003320297429,0.00990707,0.00632355,0.00632355
1588299593,1173,0.6807975344,43296,0.004121694332,0.01229827,-0.0023912,0.0023912
1588299596,1176,0.6827001698,43417,0.01352113623,0.04034423,-0.02804596,0.02804596
1588299605,1185,0.6874331719,43718,0.01169077279,0.03488281,0.00546142,0.00546142
1588299608,1188,0.6892100132,43831,0.003916301185,0.01168542,0.02319739,0.02319739
1588299611,1191,0.6911126486,43952,0.005171037645,0.01542929,-0.00374387,0.00374387
1588299614,1194,0.6929209384,44067,0.002557103618,0.00762986,0.00779943,0.00779943
1588299617,1197,0.6948078496,44187,0.005958294812,0.0177783,-0.01014844,0.01014844
1588299620,1200,0.6966947607,44307,0.003294645489,0.00983053,0.00794777,0.00794777
1588299623,1203,0.698534499,44424,0.01004845877,0.02998249,-0.02015196,0.02015196
1588299631,1211,0.7030473615,44711,0.005865758136,0.01750219,0.0124803,0.0124803
1588299634,1214,0.7048556513,44826,0.001600849969,0.0047766,0.01272559,0.01272559
1588299637,1217,0.7067268382,44945,0.01226197587,0.03658716,-0.03181056,0.03181056
1588299640,1220,0.7084879552,45057,0.007681881303,0.02292112,0.01366604,0.01366604
1588299643,1223,0.7102805208,45171,0.003297403726,0.00983876,0.01308236,0.01308236
1588299646,1226,0.7121831562,45292,0.009749865366,0.02909155,-0.01925279,0.01925279
1588299649,1229,0.713928549,45403,0.003013067354,0.00899036,0.02010119,0.02010119
1588299660,1240,0.7198408705,45779,0.01695217202,0.05058172,-0.04159136,0.04159136
1588299663,1243,0.7216334361,45893,0.003509127747,0.0104705,0.04011122,0.04011122
1588299666,1246,0.7235046229,46012,0.004920272671,0.01468106,-0.00421056,0.00421056
1588299669,1249,0.7252971885,46126,0.002600347279,0.00775889,0.00692217,0.00692217
1588299672,1252,0.7271054783,46241,0.005054166146,0.01508057,-0.00732168,0.00732168
1588299675,1255,0.7288665954,46353,0.008076014279,0.02409713,-0.00901656,0.00901656
